,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,language,processed_text,words_count
101230,9pyubizz,,WHO,Developing a Fully-glycosylated Full-length SARS-CoV-2 Spike Protein Model in a Viral Membrane,,,,unk,"This technical study describes all-atom modeling and simulation of a fully-glycosylated full-length SARS-CoV-2 spike (S) protein in a viral membrane. First, starting from PDB:6VSB and 6VXX, full-length S protein structures were modeled using template-based modeling, de-novo protein structure prediction, and loop modeling techniques in GALAXY modeling suite. Then, using the recently-determined most occupied glycoforms, 22 N-glycans and 1 O-glycan of each monomer were modeled using Glycan Reader & Modeler in CHARMM-GUI. These fully-glycosylated full-length S protein model structures were assessed and further refined against the low-resolution data in their respective experimental maps using ISOLDE. We then used CHARMM-GUI Membrane Builder to place the S proteins in a viral membrane and performed all-atom molecular dynamics simulations. All structures are available in CHARMM-GUI COVID-19 Archive (http://www.charmm-gui.org/docs/archive/covid19), so researchers can use these models to carry out innovative and novel modeling and simulation research for the prevention and treatment of COVID-19.",2020,"Woo, Hyeonuk; Park, Sang-Jun; Choi, Yeol Kyo; Park, Taeyong; Tanveer, Maham; Cao, Yiwei; Kern, Nathan R; Lee, Jumin; Yeom, Min Sun; Croll, Tristan Ian; Seok, Chaok; Im, Wonpil",J. phys. chem. B,,#32559081,,,,,219948987.0,en,technical study describe all-atom model simulation fully-glycosylated full-length sars-cov-2 spike s protein viral membrane start pdb:6vsb 6vxx full-length s protein structure model use template-based model de-novo protein structure prediction loop model technique galaxy model suite use recently-determined occupy glycoforms 22 n-glycans 1 o-glycan monomer model use glycan reader modeler charmm-gui fully-glycosylated full-length s protein model structure assess far refine low-resolution datum respective experimental map use isolde use charmm-gui membrane builder place s protein viral membrane perform all-atom molecular dynamic simulation structure available charmm-gui covid-19 archive http://www.charmm-gui.org/docs/archive/covid19 researcher use model carry innovative novel model simulation research prevention treatment covid-19,98
8568,epzhv03k,6056f4e00a22f2a1d44288d7dca28477ff493b8b,PMC,Determinants of Diarrhea in Viral Enteritis: The Role of Ion Transport and Epithelial Changes in the Ileum in Transmissible Gastroenteritis in Piglets,10.1016/s0016-5085(79)80122-5,PMC7130393,758140,no-cc,"To understand mechanisms of viral diarrhea further, we studied ileal ion transport in vitro in relation to mucosal changes and epithelial differentiation in transmissible gastroenteritis in piglets, an invasive viral enteritis thought to involve mainly proximal intestine. In infected pigs, at the height of diarrhea, short-circuited ileal epithelium failed actively to transport Na(+) and Cl(−), and there was a defect of glucose-mediated Na(+) transport. The Cl(−) secretory response to theophylline remained intact. Conductance measurements indicate that paracellular permeability may be reduced and transcellular transport may be altered. A mucosal lesion was observed at the time of the transport changes, characterized by villus blunting, crypt hyperplasia, and immature crypt-type enterocytes on the villus epithelium, deficient in disaccharidase and (Na(+), K(+))ATPase activity but rich in thymidine kinase. Consideration of the major determinants of diarrhea in this invasive enteritis must take into account not only altered mucosal function and differentiation but also the extent of intestinal involvement, including the ileum, a major site of fluid absorption in the intestine.",2020-02-14,"Shepherd, R.W.; Gall, D.G.; Butler, D.G.; Hamilton, J.R.",Gastroenterology,,,,document_parses/pdf_json/6056f4e00a22f2a1d44288d7dca28477ff493b8b.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7130393/,,en,understand mechanism viral diarrhea far study ileal ion transport vitro relation mucosal change epithelial differentiation transmissible gastroenteritis piglet invasive viral enteritis think involve mainly proximal intestine infect pig height diarrhea short-circuit ileal epithelium fail actively transport na(+ cl(− defect glucose-mediated na(+ transport cl(− secretory response theophylline remain intact conductance measurement indicate paracellular permeability reduce transcellular transport alter mucosal lesion observe time transport change characterize villus blunt crypt hyperplasia immature crypt-type enterocytes villus epithelium deficient disaccharidase na(+ k(+))atpase activity rich thymidine kinase consideration major determinant diarrhea invasive enteritis account alter mucosal function differentiation extent intestinal involvement include ileum major site fluid absorption intestine,102
118246,djap7vpb,,WHO,Structure analysis of the receptor binding of 2019-nCoV,,,,unk,"2019-nCoV is a newly identified coronavirus with high similarity to SARS-CoV. We performed a structural analysis of the receptor binding domain (RBD) of spike glycoprotein responsible for entry of coronaviruses into host cells. The RBDs from the two viruses share 72% identity in amino acid sequences, and molecular simulation reveals highly similar ternary structures. However, 2019-nCoV has a distinct loop with flexible glycyl residues replacing rigid prolyl residues in SARS-CoV. Molecular modeling revealed that 2019-nCoV RBD has a stronger interaction with angiotensin converting enzyme 2 (ACE2). A unique phenylalanine F486 in the flexible loop likely plays a major role because its penetration into a deep hydrophobic pocket in ACE2. ACE2 is widely expressed with conserved primary structures throughout the animal kingdom from fish, amphibians, reptiles, birds, to mammals. Structural analysis suggests that ACE2 from these animals can potentially bind RBD of 2019-nCoV, making them all possible natural hosts for the virus. 2019-nCoV is thought to be transmitted through respiratory droplets. However, since ACE2 is predominantly expressed in intestines, testis, and kidney, fecal-oral and other routes of transmission are also possible. Finally, antibodies and small molecular inhibitors that can block the interaction of ACE2 with RBD should be developed to combat the virus.",2020,"Chen, Yun; Guo, Yao; Pan, Yihang; Zhao, Zhizhuang Joe",Biochem. biophys. res. commun,,#1158,,,,,211232396.0,en,2019-ncov newly identify coronavirus high similarity sars-cov. perform structural analysis receptor bind domain rbd spike glycoprotein responsible entry coronavirus host cell rbds virus share 72 identity amino acid sequence molecular simulation reveal highly similar ternary structure 2019-ncov distinct loop flexible glycyl residue replace rigid prolyl residue sars-cov. molecular model reveal 2019-ncov rbd strong interaction angiotensin convert enzyme 2 ace2 unique phenylalanine f486 flexible loop likely play major role penetration deep hydrophobic pocket ace2 ace2 widely express conserve primary structure animal kingdom fish amphibian reptile bird mammal structural analysis suggest ace2 animal potentially bind rbd 2019-ncov possible natural host virus 2019-ncov think transmit respiratory droplet ace2 predominantly express intestine testis kidney fecal-oral route transmission possible finally antibody small molecular inhibitor block interaction ace2 rbd develope combat virus,126
78271,wrea12jd,1be432ea6a5c61587fa84d932757467269581587,MedRxiv,1-C Nonlinear Covid-19 Epidemic Model and Application to the Epidemic Prediction in France,10.1101/2020.05.24.20111807,,,medrxiv,"We have shown in a previous paper that the standard time-invariant SIR model was not effective to predict the 2019-20 coronavirus pandemic propagation. We have proposed a new model predicting z the logarithm of the number of detected-contaminated people. It follows a linear dynamical system z'= b-a z. We show here that we can improve this prediction using a non linear model z' = b-a z^r where r is an exponent that we have also to estimate from data. Some countries have an epidemic with a bell shaped form that we call unimodal epidemic. With this new model, we fit observed data of different countries having an unimodal epidemic with a surprising quality. We discuss also the prediction quality obtained with these models at the epidemic start in France. Finally, we evaluate the containment impact on the Covid French mortality in hospitals.",2020-05-26,"Quadrat, J.-P.",,,,,document_parses/pdf_json/1be432ea6a5c61587fa84d932757467269581587.json,,http://medrxiv.org/cgi/content/short/2020.05.24.20111807v1?rss=1,218871114.0,en,previous paper standard time-invariant sir model effective predict 2019 20 coronavirus pandemic propagation propose new model predict z logarithm numb detected-contaminated people follow linear dynamical system z'= b-a z. improve prediction use non linear model z b-a z^r r exponent estimate datum country epidemic bell shape form unimodal epidemic new model fit observe datum different country unimodal epidemic surprise quality discuss prediction quality obtain model epidemic start france finally evaluate containment impact covid french mortality hospital,76
114048,fmmm8itx,,WHO,Pediatric COVID-19: Systematic review of the literature,,,,unk,"OBJECTIVES: There is limited data regarding the demographics and clinical features of SARS-CoV-2 infection in children. This information is especially important as pneumonia is the single leading cause of death in children worldwide. This Systematic Review aims to elucidate a better understanding of the global impact of COVID-19 on the pediatric population. METHODS: A systematic review of the literature was performed in accordance with PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines to gain insight into pediatric COVID-19 epidemiology. Specifically, Pubmed and Google Scholar databases were searched to identify any relevant article with a focus on Pediatric Covid 19, Pediatric Covid-19, Pediatric SARS-COV-2, and Pediatric Coronavirus 19. References within the included articles were reviewed. All articles that met criteria where analyzed for demographics, clinical, laboratory, radiographic, treatment and outcomes data. RESULTS: Ten studies including two case series and 8 retrospective chart reviews, altogether describing a total of 2914 pediatric patients with COVID-19 were included in this systematic review. Of the patients whose data was available, 56% were male, the age range was 1â¯day to 17â¯years, 79% were reported to have no comorbidities, and of the 21% with comorbidities, the most common were asthma, immunosupression, and cardiovascular disease. Of pediatric patients that were tested and positive for an infection with SARS-CoV-2, patients were asymptomatic, 14.9% of the time. Patients presented with cough (48%), fever (47%) and sore throat/pharyngitis (28.6%), more commonly than with upper respiratory symptoms/rhinorrhea/sneezing/nasal congestion (13.7%), vomiting/nausea (7.8%) and diarrhea (10.1%). Median lab values including those for WBC, lymphocyte count and CRP, were within the reference ranges with the exception of procalcitonin levels, which were slightly elevated in children with COVID-19 (median procalcitonin levels ranged from 0.07 to 0.5â¯ng/mL. Computed tomography (CT) results suggest that unilateral CT imaging findings are present 36% of cases while 64% of pediatric patients with COVID-19 had bilateral findings. Of the studies with age specific hospitalization data available, 27.0% of patients hospitalized were infants under 1â¯year of age. Various treatment regimens including interferon, antivirals, and hydroxychloroquine therapies have been trialed on the pediatric population but there are currently no studies showing efficacy of one regimen over the other. The mortality rate of children that were hospitalized with COVID-19 was 0.0018%. CONCLUSION: In contrast to adults, most infected children appear to have a milder course and have better outcomes overall. Additional care may be needed for children with comorbidities and younger children. This review also suggests that unilateral CT chest imaging findings were seen in 36.4% pediatric COVID-19 patients. This is particularly concerning as the work-up of pediatric patients with cough may warrant a bronchoscopy to evaluate for airway foreign bodies. Extra precautions need to be taken with personal protective equipment for these cases, as aerosolizing procedures may be a method of viral transmission. LEVEL OF EVIDENCE: 4 (Systematic Review).",2020,"Patel, Neha A",Am J Otolaryngol,,#549191,,,,,219619712.0,en,objectives limit datum regard demographics clinical feature sars-cov-2 infection child information especially important pneumonia single lead cause death child worldwide systematic review aim elucidate understand global impact covid-19 pediatric population methods systematic review literature perform accordance prisma preferred reporting items systematic reviews meta-analyses guideline gain insight pediatric covid-19 epidemiology specifically pubmed google scholar database search identify relevant article focus pediatric covid 19 pediatric covid-19 pediatric sars-cov-2 pediatric coronavirus 19 references include article review article meet criterium analyze demographics clinical laboratory radiographic treatment outcome datum results study include case series 8 retrospective chart review altogether describe total 2914 pediatric patient covid-19 include systematic review patient datum available 56 male age range 1â¯day 17â¯years 79 report comorbidity 21 comorbidity common asthma immunosupression cardiovascular disease pediatric patient test positive infection sars-cov-2 patient asymptomatic 14.9 time patients present cough 48 fever 47 sore throat/pharyngitis 28.6 commonly upper respiratory symptoms/rhinorrhea/sneezing/nasal congestion 13.7 vomiting/nausea 7.8 diarrhea 10.1 median lab value include wbc lymphocyte count crp reference range exception procalcitonin level slightly elevate child covid-19 median procalcitonin level range 0.07 0.5â¯ng/ml. computed tomography ct result suggest unilateral ct image finding present 36 case 64 pediatric patient covid-19 bilateral finding study age specific hospitalization datum available 27.0 patient hospitalize infant 1â¯year age treatment regimen include interferon antiviral hydroxychloroquine therapy trial pediatric population currently study efficacy regimen mortality rate child hospitalize covid-19 0.0018 conclusion contrast adult infect child appear mild course outcome overall additional care need child comorbidity young child review suggest unilateral ct chest image finding 36.4 pediatric covid-19 patient particularly concern work-up pediatric patient cough warrant bronchoscopy evaluate airway foreign body extra precaution need personal protective equipment case aerosolizing procedure method viral transmission level evidence 4 systematic review,281
122726,4r2zp5hs,,WHO,Can mathematical modelling solve the current Covid-19 crisis?,,,,unk,"Since COVID-19 transmission started in late January, mathematical modelling has been at the forefront of shaping the decisions around different non-pharmaceutical interventions to confine its' spread in the UK and worldwide. This Editorial discusses the importance of modelling in understanding Covid-19 spread, highlights different modelling approaches and suggests that while modelling is important, no one model can give all the answers.",2020,"Panovska-Griffiths, Jasmina",BMC Public Health,,#116416,,,,,216111634.0,en,covid-19 transmission start late january mathematical model forefront shape decision different non-pharmaceutical intervention confine spread uk worldwide editorial discuss importance model understand covid-19 spread highlight different model approach suggest model important model answer,33
191419,oq0cyrd3,840cc98fee3eb8c8b7016e243dbf7372f13abccb; d7d2f2827d80361adaef05a2abc05dedff46a7c8,Medline; PMC,NMR assignment of the nonstructural protein nsp3(1066–1181) from SARS-CoV,10.1007/s12104-008-9104-x,PMC2776825,19636888,bronze-oa,"Sequence-specific NMR assignments of the globular core comprising the residues 1066–1181 within the non-structural protein nsp3e from the SARS coronavirus have been obtained using triple-resonance NMR experiments with the uniformly [(13)C,(15)N]-labeled protein. The backbone and side chain assignments are nearly complete, providing the basis for the ongoing NMR structure determination. A preliminary identification of regular secondary structures has been derived from the (13)C chemical shifts.",2008-07-22,"Serrano, Pedro; Johnson, Margaret A.; Chatterjee, Amarnath; Pedrini, Bill; Wüthrich, Kurt",Biomolecular NMR Assignments,,,,document_parses/pdf_json/840cc98fee3eb8c8b7016e243dbf7372f13abccb.json; document_parses/pdf_json/d7d2f2827d80361adaef05a2abc05dedff46a7c8.json,document_parses/pmc_json/PMC2776825.xml.json,https://doi.org/10.1007/s12104-008-9104-x; https://www.ncbi.nlm.nih.gov/pubmed/19636888/; https://link.springer.com/content/pdf/10.1007/s12104-008-9104-x.pdf,8084115.0,en,"sequence-specific nmr assignment globular core comprise residue 1066–1181 non-structural protein nsp3e sars coronavirus obtain use triple-resonance nmr experiment uniformly [(13)c,(15)n]-labeled protein backbone chain assignment nearly complete provide basis ongoing nmr structure determination preliminary identification regular secondary structure derive (13)c chemical shift",41
56831,bca5efpa,,Medline,Laparoscopic urorectal fistula repair: value of the salvage prostatectomy and review of current approaches.,10.1089/end.2012.0024,,22519729,unk,"BACKGROUND AND PURPOSE The surgical approach and repair for urorectal fistula (URF) is a challenging task. A variety of techniques have been described to treat URFs, and the laparoscopic approach has been approved as an efficient tool for even some complex fistulas. We aimed to report our laparoscopic experience for complex URF repair with special emphasis on salvage prostatectomy. PATIENTS AND METHODS The study included four men (59-75 years), with laparoscopic repair for complex URFs. URF developed after transurethral resection of the prostate in patients 2 and 3 and after radical prostatectomy in patient 4. Patient 1 had received combined radiotherapy and chemotherapy for the rectal carcinoma; a prostatic abscess developed that resulted at the end in URF. Laparoscopic salvage prostatectomy was performed for patients 1 and 2. A transvesical laparoscopic approach was performed for patient 3, and a transperitoneal transvesical technique was performed for patient 4. A tunica vaginalis flap was used for patient 1, and peritoneal interposition flaps were developed in patients 2 and 4 mL, and no patients needed intraoperative blood transfusion. Postoperative hospital stay was 12 to 34 days. The urethral catheter was removed on postoperative day 11 to 32, and cystography showed no leakage of contrast except in patient 1. CONCLUSIONS Laparoscopic URF repair is safe and efficacious in experienced hands even in complex cases, and salvage laparoscopic prostatectomy seems like a valuable operative option. The technique requires advanced experience, however, particularly with pelvic surgery and intracorporeal suturing.",2012,"Gözen, Ali Serdar; Malkoc, Ercan; Al-Sudani, Ihsan; Rassweiler, Jens",Journal of endourology,,,,,,https://doi.org/10.1089/end.2012.0024; https://www.ncbi.nlm.nih.gov/pubmed/22519729/,206171714.0,en,background purpose surgical approach repair urorectal fistula urf challenge task variety technique describe treat urfs laparoscopic approach approve efficient tool complex fistula aim report laparoscopic experience complex urf repair special emphasis salvage prostatectomy patients methods study include man 59 75 year laparoscopic repair complex urfs urf develope transurethral resection prostate patient 2 3 radical prostatectomy patient 4 patient 1 receive combine radiotherapy chemotherapy rectal carcinoma prostatic abscess develope result end urf laparoscopic salvage prostatectomy perform patient 1 2 transvesical laparoscopic approach perform patient 3 transperitoneal transvesical technique perform patient 4 tunica vaginalis flap use patient 1 peritoneal interposition flap develope patient 2 4 ml patient need intraoperative blood transfusion postoperative hospital stay 12 34 day urethral catheter remove postoperative day 11 32 cystography leakage contrast patient 1 conclusions laparoscopic urf repair safe efficacious experience hand complex case salvage laparoscopic prostatectomy like valuable operative option technique require advance experience particularly pelvic surgery intracorporeal suture,153
90200,43seupam,,Medline,Conservative management of pyothorax in an Amur tiger (Panthera tigris altaica).,,,22779255,unk,"Therapy for pyothorax, or pleural empyema, has not been described for large felids. This case describes the successful treatment of pyothorax in a captive, large felid. A 15-yr-old multiparous, female Amur tiger (Panthera tigris altaica) presented with nonspecific clinical signs caused by an insidious onset of pyothorax. Management of pyothorax cases in companion animals often involves thoracostomy tube placement with recurrent drainage of the pleural cavity, intensive supportive care, and monitoring. In this case, conservative management was elected because hospitalization was not a viable option. Thoracocentesis was performed to drain as much fluid from the chest cavity as possible, yielding more than 1.3 L. Corynebacterium sp. and unidentified anaerobic gram-positive cocci were cultured. Treatment included cefovecin subcutaneously, oral antibiotic therapy with clindamycin and marbofloxacin, meloxicam, and restricted exercise by minimizing access to the main exhibit. Significant improvement was noted clinically and radiographically 6 wk later, and no relapses were noted in the following weeks. An examination 11.5 mo later confirmed resolution.",2012,"Schrader, Gabby M; Whiteside, Douglas P; Slater, Owen M; Black, Sandra R",Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/22779255/,19610760.0,en,therapy pyothorax pleural empyema describe large felids case describe successful treatment pyothorax captive large felid 15-yr-old multiparous female amur tiger panthera tigris altaica present nonspecific clinical sign cause insidious onset pyothorax management pyothorax case companion animal involve thoracostomy tube placement recurrent drainage pleural cavity intensive supportive care monitor case conservative management elect hospitalization viable option thoracocentesis perform drain fluid chest cavity possible yield 1.3 l. corynebacterium sp. unidentified anaerobic gram-positive coccus culture treatment include cefovecin subcutaneously oral antibiotic therapy clindamycin marbofloxacin meloxicam restrict exercise minimize access main exhibit significant improvement note clinically radiographically 6 wk late relapse note follow week examination 11.5 mo late confirm resolution,106
61893,525aqd3b,,Medline,Laparoscopic right hemicolectomy: short- and long-term outcomes of intracorporeal versus extracorporeal anastomosis.,10.1007/s00464-015-4704-x,,26715015,unk,"BACKGROUND The use of laparoscopy for right hemicolectomy has gained popularity allowing the option of a totally laparoscopic intracorporeal anastomosis (IA) for intestinal reconstruction. This technique may alleviate some of the technical limitations that a surgeon faces with a laparoscopic-assisted extracorporeal anastomosis (EA). METHODS A retrospective chart review of 195 consecutive patients who underwent laparoscopic right hemicolectomy by four colorectal surgeons at three institutions from March 2005 to June 2014 was performed. Multivariate regression analysis was used to compare postoperative and oncologic outcomes. RESULTS A total of 195 patients underwent laparoscopic right hemicolectomy over the study period, with 86 (44 %) patients receiving IA and 109 (56 %) patients receiving an EA. The most common indication for surgery in both groups was cancer: 56 (65 %) of IA cases and 57 (52 %) of EA cases. IA had a significantly higher rate of minor complications but no difference in serious complications compared to EA. Conversion to open resection was higher in EA. Using multivariate analysis to compare IA versus EA, there was no significant difference in length of stay, return of bowel function, risk of anastomotic leak, risk of intraabdominal abscess or risk of wound complications. Amongst cancer resections, there was no significant difference in the median number of lymph nodes harvested (18 LNs in IA group vs. 19 LNs in EA group, P > 0.05). There was also no significant difference in overall survival and disease-free survival at 5.7 years between the two groups. CONCLUSIONS IA in laparoscopic right hemicolectomy is associated with similar postoperative and oncologic outcomes compared to EA. IA may possess advantages in terms of conversion and flexibility of specimen extraction, but this is counterbalanced by a higher incidence of minor complications. These findings suggest that IA represents a valid technique in the arsenal of the experienced colorectal surgeon without compromising outcomes.",2016,"Hanna, Mark H; Hwang, Grace S; Phelan, Michael J; Bui, Thanh-Lan; Carmichael, Joseph C; Mills, Steven D; Stamos, Michael J; Pigazzi, Alessio",Surgical endoscopy,,,,,,https://doi.org/10.1007/s00464-015-4704-x; https://www.ncbi.nlm.nih.gov/pubmed/26715015/,24554762.0,en,background use laparoscopy right hemicolectomy gain popularity allow option totally laparoscopic intracorporeal anastomosis ia intestinal reconstruction technique alleviate technical limitation surgeon face laparoscopic-assisted extracorporeal anastomosis ea methods retrospective chart review 195 consecutive patient undergo laparoscopic right hemicolectomy colorectal surgeon institution march 2005 june 2014 perform multivariate regression analysis use compare postoperative oncologic outcome results total 195 patient undergo laparoscopic right hemicolectomy study period 86 44 patient receive ia 109 56 patient receive ea common indication surgery group cancer 56 65 ia case 57 52 ea case ia significantly high rate minor complication difference complication compare ea conversion open resection high ea multivariate analysis compare ia versus ea significant difference length stay return bowel function risk anastomotic leak risk intraabdominal abscess risk wind complication cancer resection significant difference median numb lymph node harvest 18 lns ia group vs. 19 lns ea group p 0.05 significant difference overall survival disease-free survival 5.7 year group conclusions ia laparoscopic right hemicolectomy associate similar postoperative oncologic outcome compare ea ia possess advantage term conversion flexibility specimen extraction counterbalance high incidence minor complication finding suggest ia represent valid technique arsenal experience colorectal surgeon compromise outcome,189
193141,4gdlbc45,c66b1d4256aebd950265bc64b204bb736a5ae0e8,Medline; PMC,Hypermetabolism and COVID‐19,10.1002/jpen.1948,PMC7323185,32559309,no-cc,"BACKGROUND: Hypermetabolism has been described in stress states such as trauma, sepsis, ARDS, and severe burn injuries. We hypothesize that patients with COVID‐19 may develop a hypermetabolic state which may be a major contributing factor to the extraordinary ventilatory and oxygenation demands in patients with COVID‐19. METHOD: Resting energy expenditure (REE), carbon dioxide production (VCO2) and oxygen consumption (VO2) were measured by indirect calorimetry on seven critically ill patients with COVID‐19. RESULTS: The median measured REE was 4044 Kcal/day which was 235.7% ± 51.7% of predicted. The median VCO2 was 452 mL/min (range 295–582 mL/min) and the median VO2 was 585 mL/min (range 416–798 mL/min). CONCLUSION: Critically ill patients with COVID‐19 are in an extreme hypermetabolic state. This may explain the high failure rates for mechanical ventilation for these patients and highlights the potential need for increased nutritional requirements for such patients. This article is protected by copyright. All rights reserved",2020-06-19,"Yu, Pey‐Jen; Cassiere, Hugh; DeRosa, Sarah; Bocchieri, Karl; Yar, Shiraz; Hartman, Alan",JPEN J Parenter Enteral Nutr,,,,document_parses/pdf_json/c66b1d4256aebd950265bc64b204bb736a5ae0e8.json,,https://doi.org/10.1002/jpen.1948; https://www.ncbi.nlm.nih.gov/pubmed/32559309/,219951222.0,en,background hypermetabolism describe stress state trauma sepsis ards severe burn injury hypothesize patient covid‐19 develop hypermetabolic state major contribute factor extraordinary ventilatory oxygenation demand patient covid‐19 method resting energy expenditure ree carbon dioxide production vco2 oxygen consumption vo2 measure indirect calorimetry seven critically ill patient covid‐19 results median measure ree 4044 kcal/day 235.7 ± 51.7 predict median vco2 452 ml/min range 295–582 ml/min median vo2 585 ml/min range 416–798 ml/min conclusion critically ill patient covid‐19 extreme hypermetabolic state explain high failure rate mechanical ventilation patient highlight potential need increase nutritional requirement patient article protect right reserve,96
164434,5s7999n0,05778d6f9fba48a55e9aa6f679438acb5df2d932,Elsevier; Medline; PMC,Aerosol challenge of calves with Haemophilus somnus and Mycoplasma dispar,10.1016/s0378-1135(99)00181-9,PMC7117456,10727833,els-covid,"Abstract The aim of the study was to examine the ability of Haemophilus somnus and Mycoplasma dispar to induce pneumonia in healthy calves under conditions closely resembling the supposed natural way of infection, viz. by inhalation of aerosol droplets containing the microorganisms. The infections were investigated by recording clinical data, cytokine expression of peripheral blood cells and pathology. Twelve calves were included in the study: Three animals were exposed to H. somnus only, and two to M. dispar only, whereas five were challenged to M. dispar followed by exposure to H. somnus 11–14 days later. Also, one calf was exposed to M. dispar followed by exposure to a sterile saline solution 11 days later, and one calf was only exposed to a sterile saline solution. Just one animal, only challenged with H. somnus, developed a focal necrotizing pneumonia, from which H. somnus was isolated. Thus, the ability of H. somnus and M. dispar to act as primary pathogens under these conditions were minimal and inconsistent. However, a transient rise in body temperature, a marked granulocytosis and increased levels of interleukin-8 in peripheral blood after inoculation with H. somnus indicated a clear systemic response, probably as a consequence of the natural non-specific local and systemic defence mechanisms acting in healthy calves.",2000-03-15,"Tegtmeier, C.; Angen, Ø.; Grell, S. N.; Riber, U.; Friis, N. F.",Veterinary Microbiology,,,,document_parses/pdf_json/05778d6f9fba48a55e9aa6f679438acb5df2d932.json,document_parses/pmc_json/PMC7117456.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/10727833/; https://www.sciencedirect.com/science/article/pii/S0378113599001819; https://api.elsevier.com/content/article/pii/S0378113599001819,22764914.0,en,aim study examine ability haemophilus somnus mycoplasma dispar induce pneumonia healthy calve condition closely resemble suppose natural way infection viz inhalation aerosol droplet contain microorganism infection investigate record clinical datum cytokine expression peripheral blood cell pathology calve include study animal expose h. somnus m. dispar challenge m. dispar follow exposure h. somnus 11–14 day late calf expose m. dispar follow exposure sterile saline solution 11 day late calf expose sterile saline solution animal challenge h. somnus develope focal necrotizing pneumonia h. somnus isolate ability h. somnus m. dispar act primary pathogen condition minimal inconsistent transient rise body temperature mark granulocytosis increase level interleukin-8 peripheral blood inoculation h. somnus indicate clear systemic response probably consequence natural non-specific local systemic defence mechanism act healthy calve,123
